"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Bummer, Aaron",607481,"ATL","CU","Curveball",1.6,4,"230",36.7,"70","0.154","0.262","0.227",34.2,34.3,24.7,"0.208","0.315","0.258",31.7
"Lopez, Jacob",682052,"ATH","FF","4-Seam Fastball",-1,-3,"345",37.2,"70","0.255","0.491","0.393",29.6,35.7,23.1,"0.21","0.458","0.364",38.7
"Dollander, Chase",801403,"COL","CU","Curveball",1.4,4,"275",22.2,"70","0.152","0.212","0.189",30.7,28.6,18,"0.189","0.321","0.244",26.1
"Harrison, Kyle",690986,"SF","FF","4-Seam Fastball",1.9,5,"253",65.2,"70","0.175","0.317","0.258",27.5,31.4,22.2,"0.213","0.393","0.3",43.9
"Newcomb, Sean",656794,"ATH","FF","4-Seam Fastball",1,3,"308",28.4,"70","0.25","0.328","0.304",23.5,34.3,27,"0.243","0.388","0.306",42.5
"Kikuchi, Yusei",579328,"LAA","CH","Changeup",-0.2,0,"231",13.4,"70","0.232","0.319","0.246",26.5,28.6,20.6,"0.24","0.395","0.277",40.8
"Hancock, Emerson",676106,"SEA","FF","4-Seam Fastball",0.8,3,"332",26.6,"70","0.203","0.391","0.283",24.2,22.9,13.7,"0.267","0.498","0.351",42.9
"Giolito, Lucas",608337,"BOS","CH","Changeup",-1.3,-3,"251",23.9,"70","0.2","0.477","0.314",20,18.6,16.3,"0.242","0.508","0.339",35.8
"Houck, Tanner",656557,"BOS","ST","Sweeper",-1.9,-5,"265",35.4,"70","0.305","0.492","0.401",32.4,22.9,18.4,"0.28","0.427","0.365",38.6
"Zerpa, Angel",672582,"KC","SI","Sinker",0.8,2,"279",43.9,"70","0.295","0.426","0.367",9.7,18.6,15.5,"0.239","0.343","0.309",45.8
